City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Egvekinot,RU,2022-12-08 02:05:37,66.3167,-179.1667,-16.44,94,44,3.85
1,Kavieng,PG,2022-12-08 02:05:59,-2.5744,150.7967,83.28,70,100,5.37
2,Hermanus,ZA,2022-12-08 02:05:59,-34.4187,19.2345,61.81,89,100,9.66
3,Sorland,NO,2022-12-08 02:05:59,67.667,12.6934,37.26,58,97,19.22
4,Avarua,CK,2022-12-08 02:06:00,-21.2078,-159.775,82.45,74,40,9.22
5,Hobart,AU,2022-12-08 02:02:34,-42.8794,147.3294,55.26,54,75,19.57
6,Lebu,CL,2022-12-08 02:02:45,-37.6167,-73.65,60.24,98,100,12.17
7,Vaini,TO,2022-12-08 02:06:00,-21.2,-175.2,84.36,84,75,4.61
8,Burnie,AU,2022-12-08 02:06:01,-41.0667,145.9167,56.95,41,37,17.54
9,New Norfolk,AU,2022-12-08 02:06:01,-42.7826,147.0587,54.9,50,58,4.0
10,Ushuaia,AR,2022-12-08 02:02:25,-54.8,-68.3,34.11,89,10,2.21
11,Albany,US,2022-12-08 02:02:55,42.6001,-73.9662,52.57,87,100,5.99
12,Zhigansk,RU,2022-12-08 02:06:02,66.7697,123.3711,-29.02,95,93,6.87
13,Mar Del Plata,AR,2022-12-08 02:01:43,-38.0023,-57.5575,75.22,60,75,18.41
14,Kirakira,SB,2022-12-08 02:06:03,-10.4544,161.9205,84.43,72,96,5.01
15,Beringovskiy,RU,2022-12-08 02:06:03,63.05,179.3167,7.16,85,3,5.3
16,Sao Joao Da Barra,BR,2022-12-08 02:03:37,-21.6403,-41.0511,72.41,94,100,9.31
17,Brae,GB,2022-12-08 02:06:04,60.3964,-1.353,41.02,70,99,30.2
18,Butaritari,KI,2022-12-08 02:06:04,3.0707,172.7902,80.58,79,96,13.06
19,Guerrero Negro,MX,2022-12-08 02:02:35,27.9769,-114.0611,61.34,69,0,13.87
20,Portobelo,PA,2022-12-08 02:06:05,9.55,-79.65,76.05,80,29,12.73
21,Makakilo City,US,2022-12-08 02:01:18,21.3469,-158.0858,78.55,71,75,12.66
22,Punta Arenas,CL,2022-12-08 02:02:58,-53.15,-70.9167,42.12,71,98,10.2
23,Bredasdorp,ZA,2022-12-08 02:02:42,-34.5322,20.0403,60.21,92,92,4.07
24,Rikitea,PF,2022-12-08 02:04:24,-23.1203,-134.9692,75.67,80,6,19.04
25,North Bend,US,2022-12-08 02:06:06,43.4065,-124.2243,47.16,92,100,10.36
26,Atuona,PF,2022-12-08 02:01:32,-9.8,-139.0333,78.33,73,18,17.47
27,Airai,TL,2022-12-08 02:05:27,-8.9266,125.4092,76.42,39,99,2.46
28,Haines Junction,CA,2022-12-08 02:06:07,60.7522,-137.5108,16.52,97,99,1.39
29,Santa Rosa,PH,2022-12-08 02:06:07,14.3122,121.1114,88.09,72,100,8.28
30,Calama,CL,2022-12-08 02:06:07,-22.4667,-68.9333,61.29,16,75,6.91
31,Caravelas,BR,2022-12-08 02:06:08,-17.7125,-39.2481,73.83,96,100,4.34
32,Victoria,HK,2022-12-08 02:01:11,22.2855,114.1577,69.24,77,13,4.0
33,Norman Wells,CA,2022-12-08 02:04:56,65.282,-126.8329,-19.98,86,90,7.52
34,Chapais,CA,2022-12-08 02:06:08,49.7834,-74.8492,24.58,93,100,8.5
35,Jamestown,US,2022-12-08 02:05:53,42.097,-79.2353,43.02,78,100,5.75
36,Abha,SA,2022-12-08 02:06:09,18.2164,42.5053,52.05,87,4,6.91
37,Fortuna,US,2022-12-08 02:05:24,40.5982,-124.1573,48.65,86,100,3.44
38,Busselton,AU,2022-12-08 02:06:09,-33.65,115.3333,71.85,56,0,9.33
39,Bequimao,BR,2022-12-08 02:06:10,-2.4489,-44.7825,74.61,91,6,1.83
40,Srednekolymsk,RU,2022-12-08 02:06:10,67.45,153.6833,-44.07,100,56,1.28
41,Nanortalik,GL,2022-12-08 02:06:10,60.1432,-45.2371,25.95,75,93,4.47
42,Praia,CV,2022-12-08 02:05:08,14.9215,-23.5087,74.16,81,51,8.43
43,Kapaa,US,2022-12-08 02:04:54,22.0752,-159.319,82.38,80,75,17.27
44,Chernyshevskiy,RU,2022-12-08 02:06:11,63.0128,112.4714,-6.32,99,100,2.57
45,Nalut,LY,2022-12-08 02:06:11,30.3333,10.85,58.44,33,100,3.96
46,Rovaniemi,FI,2022-12-08 02:06:12,66.5,25.7167,13.41,92,0,10.36
47,Barrow,US,2022-12-08 02:05:25,71.2906,-156.7887,14.02,85,100,17.27
48,Kumluca,TR,2022-12-08 02:07:12,36.3703,30.2869,57.56,73,39,5.3
49,Katsuura,JP,2022-12-08 02:07:13,35.1333,140.3,56.14,56,0,1.83
50,Ketchikan,US,2022-12-08 02:07:14,55.3422,-131.6461,44.58,87,100,21.85
51,Mount Isa,AU,2022-12-08 02:07:14,-20.7333,139.5,101.97,15,6,5.75
52,Vila Franca Do Campo,PT,2022-12-08 02:07:15,37.7167,-25.4333,57.61,84,52,13.29
53,Redlands,US,2022-12-08 02:04:11,34.0556,-117.1825,54.34,66,20,6.91
54,Santa Maria,BR,2022-12-08 02:07:15,-29.6842,-53.8069,69.94,59,12,8.57
55,Prince Rupert,CA,2022-12-08 02:07:16,54.3161,-130.3201,38.35,90,100,11.5
56,Cidreira,BR,2022-12-08 02:03:53,-30.1811,-50.2056,69.87,92,5,9.53
57,Bengkulu,ID,2022-12-08 02:05:21,-3.8004,102.2655,80.46,75,88,3.2
58,Wanning,CN,2022-12-08 02:07:17,18.8003,110.3967,72.07,84,98,9.78
59,Severo-Yeniseyskiy,RU,2022-12-08 02:07:17,60.3725,93.0408,2.26,92,100,11.99
60,Bethel,US,2022-12-08 02:04:50,41.3712,-73.414,57.2,89,100,8.05
61,Lasa,IT,2022-12-08 02:07:18,46.6166,10.7002,26.02,89,33,1.72
62,Mataura,NZ,2022-12-08 02:04:45,-46.1927,168.8643,71.8,48,100,3.38
63,Muzhi,RU,2022-12-08 02:07:18,65.3667,64.6667,11.34,88,100,7.27
64,Itoman,JP,2022-12-08 02:04:11,26.1247,127.6694,75.22,57,40,20.71
65,Asuncion,PY,2022-12-08 02:05:40,-25.3007,-57.6359,87.24,62,0,4.61
66,Yulara,AU,2022-12-08 02:07:20,-25.2406,130.9889,91.92,17,8,18.9
67,Port Blair,IN,2022-12-08 02:07:20,11.6667,92.75,80.37,80,45,7.43
68,Nhulunbuy,AU,2022-12-08 02:07:20,-12.2333,136.7667,92.01,49,20,5.75
69,Nikolskoye,RU,2022-12-08 02:07:21,59.7035,30.7861,24.69,89,100,12.41
70,Soller,ES,2022-12-08 02:07:21,39.7662,2.7152,56.35,96,11,1.99
71,Malibu,US,2022-12-08 02:02:43,34.005,-118.8101,57.09,83,0,6.76
72,Pontes E Lacerda,BR,2022-12-08 02:07:22,-15.2261,-59.3353,74.35,85,98,3.0
73,Chuy,UY,2022-12-08 02:02:43,-33.6971,-53.4616,65.14,93,11,9.98
74,San Patricio,US,2022-12-08 02:07:22,28.017,-97.5169,75.07,89,0,13.09
75,Punakha,BT,2022-12-08 02:07:23,27.5837,89.8598,58.03,56,8,0.36
76,Port Alfred,ZA,2022-12-08 02:04:44,-33.5906,26.891,68.18,94,100,1.99
77,Hun,LY,2022-12-08 02:07:23,29.1268,15.9477,64.38,31,100,7.14
78,Arraial Do Cabo,BR,2022-12-08 02:07:24,-22.9661,-42.0278,73.58,91,0,12.62
79,Bonfim,BR,2022-12-08 02:07:24,3.0833,-59.95,77.63,82,100,2.17
80,Montepuez,MZ,2022-12-08 02:07:24,-13.1256,38.9997,68.2,98,58,2.17
81,Takoradi,GH,2022-12-08 02:07:25,4.8845,-1.7554,78.3,88,33,6.17
82,Presidencia Roque Saenz Pena,AR,2022-12-08 02:07:25,-26.7852,-60.4388,85.1,36,20,8.28
83,Kahului,US,2022-12-08 02:07:25,20.8947,-156.47,78.84,70,20,26.46
84,Tra Vinh,VN,2022-12-08 02:07:26,9.9347,106.3453,79.88,82,100,6.85
85,Koratla,IN,2022-12-08 02:07:27,18.8167,78.7167,59.92,45,98,3.44
86,Clyde River,CA,2022-12-08 02:03:56,70.4692,-68.5914,-3.95,76,31,4.94
87,Asau,RO,2022-12-08 02:07:27,46.4333,26.4,36.52,89,100,4.92
88,Atar,MR,2022-12-08 02:07:28,20.5169,-13.0499,76.15,36,99,2.73
89,Bathsheba,BB,2022-12-08 02:07:28,13.2167,-59.5167,77.05,87,20,6.91
90,Qaanaaq,GL,2022-12-08 02:07:28,77.484,-69.3632,14.38,74,100,3.18
91,Castro,BR,2022-12-08 02:07:29,-24.7911,-50.0119,64.04,99,21,5.95
92,Grindavik,IS,2022-12-08 02:07:29,63.8424,-22.4338,28.87,74,40,6.91
93,Acapulco,MX,2022-12-08 02:08:30,16.8634,-99.8901,80.42,78,0,3.44
94,Kwinana,AU,2022-12-08 02:08:30,-32.25,115.7667,78.15,65,0,11.23
95,Tura,IN,2022-12-08 02:08:30,25.5198,90.2201,64.58,77,39,1.77
96,Corinth,GR,2022-12-08 02:08:31,37.9407,22.9573,54.9,89,15,2.73
97,Leningradskiy,RU,2022-12-08 02:08:31,69.3833,178.4167,-12.3,100,98,5.06
98,Upernavik,GL,2022-12-08 02:05:51,72.7868,-56.1549,24.64,72,100,17.65
99,Solnechnyy,RU,2022-12-08 02:08:31,50.7214,136.6319,9.55,57,8,3.18
100,Vardo,NO,2022-12-08 02:07:24,70.3705,31.1107,35.58,75,100,25.32
101,Ternate,ID,2022-12-08 02:08:32,0.8,127.4,83.12,71,91,6.42
102,Constitucion,CL,2022-12-08 02:08:32,-35.3333,-72.4167,58.53,93,11,4.34
103,Homer,US,2022-12-08 02:05:57,59.6425,-151.5483,35.47,48,0,14.97
104,Boa Vista,BR,2022-12-08 02:08:33,2.8197,-60.6733,75.18,88,75,2.3
105,Teya,RU,2022-12-08 02:08:33,60.3778,92.6267,5.88,90,100,10.45
106,Yellowknife,CA,2022-12-08 02:08:34,62.456,-114.3525,-21.44,74,25,5.01
107,East London,ZA,2022-12-08 02:08:34,-33.0153,27.9116,70.09,82,100,11.3
108,Balabac,PH,2022-12-08 02:08:34,7.9868,117.0645,82.89,75,70,15.21
109,Saint-Augustin,CA,2022-12-08 02:08:35,51.226,-58.6502,31.42,93,100,5.03
110,Hilo,US,2022-12-08 02:08:35,19.7297,-155.09,77.29,83,75,9.22
111,Pacific Grove,US,2022-12-08 02:07:27,36.6177,-121.9166,51.48,84,0,4.61
112,Bharatpur,IN,2022-12-08 02:08:36,27.2167,77.4833,56.19,38,0,3.8
113,Chincha Alta,PE,2022-12-08 02:08:36,-13.4099,-76.1323,64.99,88,100,2.55
114,Ola,RU,2022-12-08 02:08:36,59.5833,151.2833,5.04,92,100,4.97
115,Najran,SA,2022-12-08 02:08:37,17.4924,44.1277,58.19,37,0,1.28
116,Qasigiannguit,GL,2022-12-08 02:08:37,68.8193,-51.1922,34.05,80,100,7.54
117,Sinnamary,GF,2022-12-08 02:08:37,5.3833,-52.95,77.88,88,100,9.24
118,Tuktoyaktuk,CA,2022-12-08 02:08:38,69.4541,-133.0374,-18.42,94,94,11.36
119,Georgetown,MY,2022-12-08 02:08:38,5.4112,100.3354,84.13,76,20,5.75
120,Semey,KZ,2022-12-08 02:05:40,50.4111,80.2275,-23.58,76,6,6.71
121,Kieta,PG,2022-12-08 02:08:39,-6.2167,155.6333,83.89,72,100,5.01
122,Thompson,CA,2022-12-08 02:08:39,55.7435,-97.8558,-7.24,97,100,8.01
123,Enterprise,US,2022-12-08 02:07:08,36.0252,-115.2419,50.22,47,20,5.75
124,San Cristobal,VE,2022-12-08 02:08:39,7.7669,-72.225,66.38,95,73,2.82
125,Mahebourg,MU,2022-12-08 02:06:27,-20.4081,57.7,76.24,81,32,19.3
126,Khatanga,RU,2022-12-08 02:08:40,71.9667,102.5,-28.91,89,15,8.72
127,Melilla,ES,2022-12-08 02:08:41,35.2937,-2.9383,55.78,88,0,1.14
128,Souillac,MU,2022-12-08 02:08:41,-20.5167,57.5167,75.97,82,41,18.03
129,Voznesenye,RU,2022-12-08 02:08:41,61.0106,35.4781,19.6,82,100,13.29
130,Aksu,CN,2022-12-08 02:08:42,41.1231,80.2644,25.65,41,100,3.89
131,Borskoye,RU,2022-12-08 02:08:42,53.0333,51.7167,-0.13,96,8,3.38
132,Cape Town,ZA,2022-12-08 02:04:38,-33.9258,18.4232,69.39,72,99,10.0
133,Mindelo,CV,2022-12-08 02:08:42,16.8901,-24.9804,71.26,77,14,10.8
134,Thinadhoo,MV,2022-12-08 02:08:43,0.5333,72.9333,82.44,76,100,18.25
135,Pevek,RU,2022-12-08 02:08:43,69.7008,170.3133,-10.43,97,95,2.01
136,Vao,NC,2022-12-08 02:08:43,-22.6667,167.4833,76.64,81,78,7.99
137,Te Anau,NZ,2022-12-08 02:05:10,-45.4167,167.7167,55.54,96,100,3.13
138,Hambantota,LK,2022-12-08 02:08:44,6.1241,81.1185,80.94,54,20,14.97
139,Orodara,BF,2022-12-08 02:08:44,10.9492,-4.9342,71.76,23,0,5.06
140,Saint-Philippe,RE,2022-12-08 02:09:45,-21.3585,55.7679,74.79,87,43,13.49
141,Provideniya,RU,2022-12-08 02:09:45,64.3833,-173.3,21.36,63,100,11.01
142,Aykhal,RU,2022-12-08 02:06:39,66.0,111.5,-29.51,100,96,4.23
143,Inirida,CO,2022-12-08 02:09:46,3.8653,-67.9239,72.81,96,100,1.39
144,Okhotsk,RU,2022-12-08 02:09:46,59.3833,143.3,-16.47,88,78,8.63
145,Dikson,RU,2022-12-08 02:06:30,73.5069,80.5464,-13.99,97,98,18.52
146,Luderitz,NA,2022-12-08 02:09:46,-26.6481,15.1594,57.87,76,0,7.23
147,Hamilton,US,2022-12-08 02:07:08,39.1834,-84.5333,49.98,91,100,8.05
148,Capao Da Canoa,BR,2022-12-08 02:09:47,-29.7456,-50.0097,67.62,87,3,5.82
149,Soyo,AO,2022-12-08 02:09:47,-6.1349,12.3689,77.72,86,100,6.55
150,Verkhnyaya Inta,RU,2022-12-08 02:09:48,65.9811,60.3094,16.21,93,100,20.58
151,Minggang,CN,2022-12-08 02:09:48,32.4586,114.0486,48.99,60,94,1.54
152,Korla,CN,2022-12-08 02:09:48,41.7597,86.1469,22.78,50,98,2.93
153,Malyye Derbety,RU,2022-12-08 02:09:49,47.9547,44.6808,16.03,89,17,12.35
154,Winnemucca,US,2022-12-08 02:09:49,40.973,-117.7357,28.45,86,0,6.91
155,Okha,RU,2022-12-08 02:07:46,53.5739,142.9478,3.16,83,5,13.62
156,Port Elizabeth,ZA,2022-12-08 02:09:50,-33.918,25.5701,70.11,91,47,8.01
157,Saldanha,ZA,2022-12-08 02:09:50,-33.0117,17.9442,62.2,91,35,8.81
158,Tabou,CI,2022-12-08 02:09:50,4.423,-7.3528,77.36,88,53,5.19
159,Coihaique,CL,2022-12-08 02:09:51,-45.5752,-72.0662,54.21,94,100,6.91
160,Altay,CN,2022-12-08 02:09:51,47.8667,88.1167,1.18,89,99,5.59
161,Hopkinsville,US,2022-12-08 02:09:51,36.8656,-87.4886,54.63,100,100,6.24
162,Linxia,CN,2022-12-08 02:09:52,35.6003,103.2064,27.54,56,94,2.21
163,Saskylakh,RU,2022-12-08 02:05:55,71.9167,114.0833,-29.13,100,100,6.29
164,Frome,GB,2022-12-08 02:09:52,51.2283,-2.3221,33.08,95,7,3.65
165,Flinders,AU,2022-12-08 02:07:34,-34.5833,150.8552,73.18,53,4,4.0
166,Balkanabat,TM,2022-12-08 02:09:53,39.5108,54.3671,36.16,54,95,6.6
167,Surt,LY,2022-12-08 02:09:53,31.2089,16.5887,65.71,73,20,17.49
168,Nome,US,2022-12-08 02:09:05,64.5011,-165.4064,15.87,86,0,6.91
169,Kabo,CF,2022-12-08 02:09:54,7.6994,18.629,69.12,28,100,3.94
170,Barkhan,PK,2022-12-08 02:09:54,29.8977,69.5256,51.55,39,52,2.33
171,Coahuayana,MX,2022-12-08 02:09:54,18.7333,-103.6833,75.07,93,23,1.14
172,Tomatlan,MX,2022-12-08 02:09:55,19.9333,-105.25,71.82,94,0,1.63
173,Hithadhoo,MV,2022-12-08 02:09:55,-0.6,73.0833,81.16,76,100,16.55
174,Meadow Lake,US,2022-12-08 02:09:56,34.8014,-106.5436,51.12,67,97,4.59
175,Pizarro,CO,2022-12-08 02:09:56,4.9533,-77.366,75.24,89,7,4.5
176,Puerto Ayora,EC,2022-12-08 02:09:56,-0.7393,-90.3518,70.56,94,16,3.0
177,Tromso,NO,2022-12-08 02:06:29,69.6496,18.957,32.02,64,100,11.5
178,Waipawa,NZ,2022-12-08 02:09:57,-41.4122,175.5153,65.21,51,100,15.95
179,Bluff,NZ,2022-12-08 02:09:57,-46.6,168.3333,64.18,64,100,4.27
180,Orchard Homes,US,2022-12-08 02:09:57,46.8633,-114.0484,24.94,74,0,0.0
181,Saint-Louis,SN,2022-12-08 02:09:58,16.3333,-15.0,80.44,36,5,12.21
182,Nantucket,US,2022-12-08 02:09:58,41.2835,-70.0995,57.34,95,100,21.81
183,Sabang,ID,2022-12-08 02:09:59,5.8933,95.3214,81.27,71,100,4.9
184,Esperance,AU,2022-12-08 02:09:59,-33.8667,121.9,70.32,58,85,17.58
185,Whitehorse,CA,2022-12-08 02:05:31,60.7161,-135.0538,23.09,96,99,5.21
186,Broken Hill,AU,2022-12-08 02:09:59,-31.95,141.4333,66.54,21,0,18.12
187,Lavrentiya,RU,2022-12-08 02:10:00,65.5833,-171.0,12.13,90,28,7.29
188,Hoopstad,ZA,2022-12-08 02:11:00,-27.8327,25.9083,66.22,68,100,3.6
